x0,y0,name,elevation,inv_ele,max_depth,open,InitDepth,SurDepth,Aponded,routing
12710412.8473,2550099.8793,SMH4028670,20.56,16.96,3.6,1,0,0,1,1
12710582.7603,2549897.3014,SMH4028678,34.671,31.071,3.6,1,0,0,1,1
12710572.0787,2549880.4913,SMH4028679,34.39,30.6,3.79,1,0,0,1,1
12710550.957,2549843.1268,SMH4028680,32.48,28.88,3.6,1,0,0,1,1
12710527.165,2549805.4062,SMH4028681,31.31,27.71,3.6,1,0,0,1,1
12710487.626,2549737.1159,SMH4028682,28.72,25.12,3.6,1,0,0,1,1
12710013.1207,2550137.8533,SMH4028372,31.62,28.02,3.6,1,0,0,1,1
12710453.1655,2549661.0701,SMH4028684,26.5,22.41,4.09,1,0,0,1,1
12710521.7197,2549720.9615,SMH4028685,41.57,37.97,3.6,1,0,0,1,1
12710494.1894,2549735.0988,SMH4028686,28.96,25.36,3.6,1,0,0,1,1
12710582.5424,2549900.149,SMH4028689,35.32,31.72,3.6,1,0,0,1,1
12710588.0734,2549770.286,SMH4028691,34.348,30.748,3.6,1,0,0,1,1
12710436.2836,2549927.5961,SMH4028692,33.5,29.6,3.9,1,0,0,1,1
12710039.4811,2550152.0207,SMH4028373,31.45,27.85,3.6,1,0,0,1,1
12710706.8501,2549932.7683,SMH4028771,41.24,36.99,4.25,1,0,0,1,1
12710699.2874,2549962.1087,SMH4028772,39.82,35.98,3.84,1,0,0,1,1
12710678.5079,2549967.6673,SMH4028773,38.31,34.71,3.6,1,0,0,1,1
12710645.2644,2549955.5914,SMH4028774,38.01,34.41,3.6,1,0,0,1,1
12710656.0688,2549962.1111,SMH4028775,38.71,35.11,3.6,1,0,0,1,1
12710622.0537,2549944.0355,SMH4028776,37.55,33.83,3.72,1,0,0,1,1
12710657.1287,2549966.5852,SMH4028777,37.95,34.35,3.6,1,0,0,1,1
12710631.3742,2549948.337,SMH4028778,37.81,34.21,3.6,1,0,0,1,1
12710630.5521,2549841.2031,SMH4028751,37.92,34.32,3.6,1,0,0,1,1
12710628.199,2549946.11,SMH4028676,37.73,34.13,3.6,1,0,0,1,1
12710788.9649,2549917.5497,SMH4028784,50.29,46.69,3.6,1,0,0,1,1
12710798.6864,2549884.9498,SMH4028785,49.06,45.46,3.6,1,0,0,1,1
12710913.1919,2549376.3799,SMH4029147,75.31,71.71,3.6,1,0,0,1,1
12710875.3786,2549401.3751,SMH4029148,75.05,71.45,3.6,1,0,0,1,1
12710849.4492,2549437.237,SMH4029149,74.67,71.07,3.6,1,0,0,1,1
12710835.4057,2549483.9633,SMH4029150,74.27,70.67,3.6,1,0,0,1,1
12710820.2816,2549550.251,SMH4029151,73.07,69.47,3.6,1,0,0,1,1
12710802.9986,2549614.3655,SMH4029152,70.63,67.03,3.6,1,0,0,1,1
12710791.1156,2549660.0065,SMH4029153,65.14,61.54,3.6,1,0,0,1,1
12710938.3226,2549311.7525,SMH4029154,71.54,67.76,3.78,1,0,0,1,1
12710925.6677,2549285.323,SMH4029155,68.83,65.11,3.72,1,0,0,1,1
12710555.2297,2549319.524,SMH4029113,49.72,46.12,3.6,1,0,0,1,1
12710621.6638,2549384.1894,SMH4029119,49.33,45.73,3.6,1,0,0,1,1
12710612.3519,2549417.8145,SMH4029120,46.35,42.75,3.6,1,0,0,1,1
12710602.5672,2549459.9471,SMH4029121,43.21,39.61,3.6,1,0,0,1,1
12710591.879,2549493.3083,SMH4029122,40.53,36.93,3.6,1,0,0,1,1
12710396.5233,2549632.5702,SMH4029129,22.02,18.32,3.7,1,0,0,1,1
12710359.7495,2549636.4763,SMH4029130,20.21,16.25,3.96,1,0,0,1,1
12710327.0207,2549650.5353,SMH4029131,18.61,14.91,3.7,1,0,0,1,1
12710580.9256,2549523.4143,SMH4029133,39.89,36.29,3.6,1,0,0,1,1
12710592.7971,2549530.435,SMH4029137,40.1,36.5,3.6,1,0,0,1,1
12710589.3374,2549526.8476,SMH4029139,40.5,36.9,3.6,1,0,0,1,1
12709979.4372,2549386.6574,SMH4029142,16.86,13.26,3.6,1,0,0,1,1
12710248.3007,2549266.9242,SMH4029499,40.17,36.57,3.6,1,0,0,1,1
12710630.6255,2549847.0974,SMH4028690,38.22,34.62,3.6,1,0,0,1,1
12710661.4821,2550288.1228,SMH4028714,28.79,25.19,3.6,1,0,0,1,1
12710660.4017,2550277.2556,SMH4028716,30.81,27.21,3.6,1,0,0,1,1
12710657.1602,2550267.476,SMH4028717,30.32,26.72,3.6,1,0,0,1,1
12710664.7222,2550247.915,SMH4028718,30.22,26.62,3.6,1,0,0,1,1
12710906.4487,2549276.1172,SMH4029156,68.65,64.2,4.45,1,0,0,1,1
12710889.259,2549268.1177,SMH4029157,67.06,63.39,3.67,1,0,0,1,1
12710160.4443,2549431.3181,SMH4029060,31.34,27.74,3.6,1,0,0,1,1
12710194.2359,2549480.7228,SMH4029061,27.96,24.36,3.6,1,0,0,1,1
12710239.6605,2549528.6473,SMH4029062,24.34,20.74,3.6,1,0,0,1,1
12710266.9275,2549577.4468,SMH4029063,21.14,17.54,3.6,1,0,0,1,1
